"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DCA18CA252","ACC","97898","2018-07-27T04:50:00Z","Portsmouth","New Hampshire","United States",,"N641GT","25132","false","Aviation","DirectorBrief","2021-06-08T04:00:00Z","2021-07-13T04:00:00Z","None","0","0","0","an improper landing flare technique and the lack of the appropriate bounced landing recovery procedure.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew",,"43.078055999999997","-70.823333000000005","Boeing","767","AIR","PSM","Portsmouth Intl At Pease","false","2","TF","NSCH",,"121","Substantial","VMC","Atlas Air Inc","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97898","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97898/pdf"
"DCA18CA251","ACC","97877","2018-07-23T15:38:00Z","Charlotte","North Carolina","United States",,"N918DE","49959","false","Aviation","DirectorBrief","2021-06-08T04:00:00Z","2021-07-13T04:00:00Z","Serious","0","1","1","An inadvertent encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"35.214443000000003","-80.947219000000004","Mcdonnell Douglas","MD88","AIR",,,"false",,"TF","SCHD",,"121","None","VMC","Delta Air Lines","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97877","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97877/pdf"
"DCA18CA316","ACC","101461","2018-07-23T15:31:00Z","West Palm Beach","Florida","United States",,"N328NB","1520","false","Aviation","DirectorBrief","2021-06-08T04:00:00Z","2021-07-13T04:00:00Z","Serious","0","1","1","An inadvertent encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"26.683055","-80.095557999999997","Airbus","A319","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","Delta Air Lines","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=101461","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/101461/pdf"
"DCA18CA255","ACC","97980","2018-06-16T22:00:00Z","Cut Bank","Montana","United States",,"N637CZ","17000256","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z",,"Serious","0","1","0","an unexpected encounter with clear air turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Effect on personnel",,"48.713889999999999","-112.538887","EMBRAER","ERJ175","AIR",,,"false","2","TF","SCHD",,"121","None","Unknown","Compass Airlines","Enroute","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97980/pdf"
"DCA18CA209","ACC","97469","2018-06-12T11:44:00Z","Phoenix","Arizona","United States",,"N8693A","36921","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2020-10-09T15:03:48Z","Serious","0","1","0","a passenger bumping into a flight attendant who was holding a hot liquid.","Personnel issues - Task performance - (general) - (general) - Cabin crew",,"33.260275999999998","-112.004165","BOEING","737-8H4","AIR","KPHX","Phoenix Sky Harbor Internation","false","2","TF","SCHD",,"121","None","Unknown","SOUTHWEST AIRLINES CO","Standing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97469","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97469/pdf"
"DCA18CA219","ACC","97504","2018-06-11T04:00:00Z","Harbin",,"China",,"N826AN","40649","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2020-09-05T02:35:00Z","Serious","0","1","1","the accidental tipping over of a beverage service cart, when there was no turbulence, which caused pots of hot water to burn two flight attendants.","Personnel issues - Task performance - (general) - (general) - Cabin crew",,"45.375","126.151107","BOEING","787-9","AIR",,,"false","2","TF","SCHD",,"121","None","Unknown","AMERICAN AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97504","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97504/pdf"
"DCA18CA201","ACC","97434","2018-06-10T20:43:00Z","Decatur","Texas","United States",,"N750AN","30259","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2020-10-09T18:31:44Z","Serious","0","1","7","the passengers failure to comply with the fasten seatbelt sign when the airplane encountered convective turbulence.","Personnel issues - Action/decision - Action - Unnecessary action - Passenger, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel",,"33.341388000000002","-97.547775000000001","BOEING","777 223","AIR",,,"false","2","TF","SCHD",,"121","None","Unknown","AMERICAN AIRLINES INC","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97434","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97434/pdf"
"DCA18WA222","ACC","97513","2018-06-10T14:53:00Z","Crete",,"Greece",,"N276EA","35070","false","Aviation","",,,"None","0","0","0",,,,"35.339443000000003","25.184165","BOEING","737 800","AIR",,,"false","2",,"SCHD",,"121","Substantial",,"Swiftair","Landing","N/A",,"Prelim","","None"
"DCA18CA169","ACC","97175","2018-05-07T00:08:00Z","Baltimore","Maryland","United States",,"N8655D","42529","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","2018-08-13T13:17:00Z","None","0","0","0","The maintenance truck driver's failure to give way to the airplane that resulted in the truck colliding with the taxiing aircraft.","Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew",,"39.179164","-76.667220999999998","BOEING","737-8H4","AIR","KBWI","Baltimore/Thurgood Marshall In","false","2","TF","SCHD",,"121","Substantial","VMC","SOUTHWEST AIRLINES CO","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97175","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97175/pdf"
"DCA18CA165","ACC","97158","2018-05-01T14:53:00Z","Queens","New York","United States",,"N606LR, N172DN","15173, 24775","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2020-10-09T18:31:44Z","None","0","0","0","the failure of the captain of Delta 212 to ensure adequate clearance while taxiing behind Endeavor 3413.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot of other aircraft",,"40.643889999999999","-73.781943999999996","BOMBARDIER INC, BOEING","CL600 2D24, 767 332","AIR, AIR","JFK","John F Kennedy Intl","false, false","2, 2","TF, TJ","SCHD, SCHD",,"121, 121","Substantial, Minor","VMC","Endeavor Air, Delta Air Lines","Standing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97158","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97158/pdf"
"DCA18FA144","ACC","97072","2018-04-20T14:20:00Z","Alexandria","Louisiana","United States",,"N807WA","53093","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2021-07-13T04:00:00Z","None","0","0","0","the failure of the right main landing gear under normal loads due to fatigue cracking in an area subject to an FAA Airworthiness Directive that was not adequately inspected.","Aircraft - Aircraft systems - Landing gear system - Main landing gear - Inadequate inspection, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Fatigue/wear/corrosion, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Failure",,"31.327499","-92.545280000000005","MCDONNELL DOUGLAS","DC 9 83(MD-83)","AIR","KAEX","Alexandria International","false","2","TF","NSCH",,"121","Substantial","VMC","Caribbean Sun Airlines Inc","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97072","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97072/pdf"
"DCA18LA163","ACC","97065","2018-04-18T18:09:00Z","Atlanta","Georgia","United States",,"N806NW","0578","false","Aviation","DirectorBrief","2022-05-10T04:00:00Z","2021-10-01T21:00:00Z","None","0","0","0","The flight crew’s delayed landing after an in-flight engine fire, which reignited after both fire bottles were discharged and resulted in substantial damage to an engine pylon. Contributing to the delayed landing was likely the flight crew’s perception that the fire had been extinguished due to the disappearance of the primary engine fire warning indications after the fire detection loops were damaged and that a landing as soon as possible was not perceived to be necessary. Contributing to the duration of the fire was the contamination of an engine fire isolation system component which resulted in hydraulic fluid leaking into the designated engine fire zone after the engine was shutdown and the fire button was pressed.","Aircraft - Aircraft power plant - Engine fuel and control - Eng fuel sys wiring - Failure, Aircraft - Aircraft power plant - Engine fuel and control - Eng fuel sys wiring - Design, Aircraft - Aircraft power plant - Engine indicating system - Engine indication sys wiring - Damaged/degraded, Environmental issues - Task environment - Pressures/demands - Personal pressure - Decision related to condition, Organizational issues - Development - Manufacture/production - Document/info production - Manufacturer",,"33.646667000000001","-84.440833999999995","AIRBUS","A330 323","AIR","ATL","Hartsfield-Jackson","false","2","TF","SCHD",,"121","Substantial","VMC","Delta Air Lines","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97065","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/97065/pdf"
"DCA18MA142","ACC","97056","2018-04-17T11:03:00Z","Philadelphia","Pennsylvania","United States","AAR1903","N772SW","27880","true","Aviation","Report","2020-03-10T04:00:00Z","2018-11-14T13:00:00Z","Fatal","1","8","125","A low-cycle fatigue crack in the dovetail of fan blade No. 13, which resulted in the fan blade separating in flight and impacting the engine fan case at a location that was critical to the structural integrity and performance of the fan cowl structure. This impact led to the in-flight separation of fan cowl components, including the inboard fan cowl aft latch keeper, which struck the fuselage near a cabin window and caused the window to depart from the airplane, the cabin to rapidly depressurize, and the passenger fatality.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Fatigue/wear/corrosion, Aircraft - Aircraft structures - Nacelles/pylons structure - Nacelle/pylon misc structure - Damaged/degraded, Aircraft - Aircraft structures - Windows-windshield system - Passenger compartment windows - Damaged/degraded, Organizational issues - Management - Resources - Availability of documents/info - FAA/Regulator, Personnel issues - Action/decision - Action - Lack of action - Cabin crew",,"39.871943999999999","-75.239997000000002","BOEING","737 7H4","AIR","KPHL","Philadelphia","false","2","TF","SCHD",,"121","Substantial","VMC","SOUTHWEST AIRLINES CO","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97056","https://www.ntsb.gov/investigations/Pages/DCA18MA142.aspx"
"DCA18CA102","ACC","96802","2018-02-24T13:58:00Z","Minneapolis","Minnesota","United States",,"N817NW","0843","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2020-08-17T16:01:00Z","Serious","0","1","2","an inadvertent encounter with clear air turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel",,"44.884723000000001","-93.215553","AIRBUS","A330 323","AIR","MSP","Minneapolis-St Paul Intl/Wold-","false","2","TF","SCHD",,"121","None","VMC","Delta Air Lines","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96802","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96802/pdf"
"DCA18CA056","ACC","96537","2017-12-23T22:21:00Z","Bethel","Alaska","United States",,"N935CE","47413","false","Aviation","DirectorBrief","2019-08-23T04:00:00Z","2019-09-12T13:12:00Z","None","0","0","0","failure of a cargo tie-down fastener, resulting in unsecured cargo striking the pressure bulkhead.","Aircraft - Aircraft structures - Fuselage - Seat/cargo attach fitting - Failure",,"60.809641999999997","-161.84996000000001","MCDONNELL DOUGLAS","DC 9 33F","AIR","PABE","Bethel","false",,,"NSCH",,"121","Substantial","VMC","Everts Air","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96537","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96537/pdf"
"DCA18CA049","ACC","96503","2017-12-18T00:45:00Z","Saint Louis","Missouri","United States",,"N128SY","17000445","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2021-07-13T04:00:00Z","Serious","0","1","0","the abrupt pitch up maneuver which caused the flight attendant to lose her balance and injure her ankle.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew",,"38.742221000000001","-90.365836999999999","EMBRAER S A","ERJ170-200LR","AIR",,,"false",,"TF","SCHD",,"121","None","IMC","SKYWEST AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96503","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96503/pdf"
"DCA18CA042","ACC","96468","2017-12-12T08:35:00Z","Detroit","Michigan","United States",,"N924DL","49711","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2020-10-09T18:31:44Z","None","0","0","0","failure of the flight crew to confirm the left engine throttle lever was at idle during engine start.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew",,"42.212501000000003","-83.353331999999995","MCDONNELL DOUGLAS AIRCRAFT CO","MD 88","AIR","DTW","Detroit Metropolitan Wayne Cou","false","2","TJ","SCHD",,"121","Substantial","VMC","Delta Air Lines","Standing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96468","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96468/pdf"
"DCA18CA055","ACC","96520","2017-12-06T04:07:00Z","Fort Lauderdale","Florida","United States",,"N670NK","7106","false","Aviation","DirectorBrief","2018-06-18T04:00:00Z","2018-06-20T12:52:00Z","Serious","0","1","1","an inadvertent encounter with convective turbulence that resulted in a flight attendant injury.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"26.072500000000002","-80.152777999999998","AIRBUS","A321 231","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","SPIRIT AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96520","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96520/pdf"
"DCA18CA043","ACC","96472","2017-12-03T19:25:00Z","Miami","Florida","United States",,"N9011P, N344PP","5798, 31272","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","2018-08-21T19:59:00Z","None","0","0","0","The failure of the flight crew of N9011P to maintain an appropriate clearance from N344PP, which was stopped on the taxiway.","Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew",,"25.793333000000001","-80.290557000000007","AIRBUS, BOEING","A319 115, 737 800","AIR, AIR","MIA","Miami International","false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","Minor, Substantial","VMC","American Airlines, American Airlines","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96472","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96472/pdf"
"DCA18WA027","ACC","96408","2017-11-29T05:00:00Z","Bogota",,"Colombia",,"N14115","27557","false","Aviation","",,,"Serious","0","1","0",,,,"5.9805549999999998","-75.418334000000002","BOEING","757 224","AIR",,,"false","2","TF","SCHD",,"121","None",,,"Enroute","N/A",,,"","None"
"DCA18CA074","ACC","96582","2017-11-19T13:30:00Z","Los Angeles","California","United States",,"N740SW","29276","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","2018-08-21T19:35:00Z","Serious","0","1","0","The provisioning agent's lack of situational awareness while stepping from the airplane to the provisioning van.  Contributing to the accident was the provisioning vans failed switch.","Environmental issues - Physical environment - Object/animal/substance - Ground equipment - Contributed to outcome, Personnel issues - Psychological - Attention/monitoring - Attention - Ground crew",,"33.944999000000003","-118.408058","BOEING","737 7H4","AIR","LAX","Los Angeles International","false","2","TF","SCHD",,"121","None","VMC","Southwest Airlines","Standing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96582","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96582/pdf"
"DCA18CA001","ACC","96133","2017-10-02T08:40:00Z","Chicago","Illinois","United States",,"N930WN","36636","false","Aviation","DirectorBrief","2020-06-08T04:00:00Z","2020-07-15T02:00:00Z","None","0","0","0","the mechanical failure of the tugs fuel governor, which made it difficult for the ramp agent to stop the tug.  Contributing to the accident was the lack of guidance on how ground personnel were to handle vehicle malfunctions.","Aircraft - Aircraft handling/service - Loading - (general) - Not serviced/maintained, Organizational issues - Support/oversight/monitoring - Training - Initial training - Training organization",,"41.786388000000002","-87.745277000000002","BOEING","737 7H4","AIR","KMDW","Chicago Midway International A","false","2","TF","SCHD",,"121","Substantial","VMC","Southwest Airlines","Standing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96133","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96133/pdf"
"DCA17CA214","ACC","96122","2017-09-30T10:50:00Z","Arlington","Virginia","United States",,"N841NN, N982VJ","30914, 5374","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","2018-08-13T13:38:00Z","None","0","0","0","The failure N841NNs captain to maintain appropriate clearance from N982VJ, which was stopped on the taxiway.","Personnel issues - Action/decision - Action - Incorrect action performance - Pilot",,"38.900001000000003","-77.033332000000001","BOEING, AIRBUS","737 823, A321 231","AIR, AIR","DCA","Reagan National","false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","Minor, Substantial","VMC","American Airlines, American Airlines","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96122","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96122/pdf"
"DCA17CA217","ACC","96147","2017-09-25T16:00:00Z","Sioux City","Iowa","United States",,"N500WR","36898","false","Aviation","DirectorBrief","2020-06-08T04:00:00Z","2020-07-14T05:16:00Z","Serious","0","1","0","the flight attendant accidentally pouring hot water on his hand which resulted in a 2nd degree burn.","Personnel issues - Task performance - (general) - (general) - Cabin crew",,"42.499721000000001","-96.420828999999998","BOEING","737-8H4","AIR",,,"false","2","TF","SCHD",,"121","None","Unknown","Southwest Airlines","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96147","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96147/pdf"
"DCA17WA209","ACC","96073","2017-09-15T04:00:00Z","Christ Church",,"Barbados",,"N137AA","6647","false","Aviation","",,,"None","0","0","0",,,,"13.074444","-59.492778000000001","AIRBUS","A321 231","AIR",,,"false","2","TF","SCHD",,"121","Substantial","VMC","American Airlines","Landing","N/A",,,"","None"
"DCA17CA197","ACC","96040","2017-09-13T15:45:00Z","Charlotte","North Carolina","United States",,"N261PS","7959","false","Aviation","DirectorBrief","2018-03-09T05:00:00Z","2018-03-09T18:10:00Z","Serious","0","1","0","the tug operator's initiation of a right turn onto the perpendicular terminal road in proximity to the airplane.","Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew",,"35.130001","-80.559996999999996","BOMBARDIER INC","CL 600 2B19","AIR","CLT","CHARLOTTE/DOUGLAS INTL","false","2","TF","SCHD",,"121","Substantial","VMC","PSA AIRLINES INC","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96040","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96040/pdf"
"DCA17CA195","ACC","96000","2017-09-12T13:10:00Z","Los Angeles","California","United States",,"N69813, C-GHOZ","43531, 24087","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","2018-03-09T18:26:00Z","None","0","0","0","the B737 flight crew's misjudgment of the clearance between their wingtip and the B767 horizontal stabilizer.","Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew",,"33","-118","BOEING, Boeing","737-924ER, 767-375","AIR, AIR","LAX","Los Angeles International Airp","false, false","2, 2",,"SCHD, SCHD",,"121, 129","Minor, Substantial","VMC","United Airlines, Air Canada","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=96000","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/96000/pdf"
"DCA17CA194","ACC","95980","2017-09-04T15:31:00Z","El Paso","Texas","United States",,"N938DN","53353","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2020-08-21T10:19:00Z","Serious","0","1","0","an inadvertent encounter with turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on personnel",,"31.807221999999999","-106.37638800000001","MCDONNELL DOUGLAS","MD 90-30","AIR","ELP","El Paso Intl","false",,,"SCHD",,"121","None","VMC","Delta Air Lines","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95980","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95980/pdf"
"DCA17LA183","ACC","95885","2017-08-22T17:21:00Z","McKellar","Tennessee","United States",,"N745SK","10201","false","Aviation","DirectorBrief","2021-06-08T04:00:00Z","2021-07-13T04:00:00Z","Serious","0","2","9","An encounter with convective turbulence while maneuvering to avoid conflicting traffic.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"35.599997999999999","-88.915557000000007","BOMBARDIER INC","CL 600 2C10","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","Skywest  Airlines","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95885","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95885/pdf"
"DCA17CA181","ACC","95831","2017-08-15T18:15:00Z","Queens","New York","United States",,"N377DA, N175AN","29625, 32394","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","2020-08-13T14:00:00Z","None","0","0","0","the Delta B737 captain's failure to maintain proper clearance between his airplane and the stopped American B757.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot",,"40.647776999999998","-73.765556000000004","BOEING, Boeing","737 832, 757","AIR, AIR","JFK","JOHN F KENNEDY INTL","false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","Minor, Substantial","VMC","Delta Air Lines, American Airlines","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95831","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95831/pdf"
"DCA17LA173","ACC","95804","2017-08-05T14:35:00Z","East Hampton","New York","United States",,"N276AY","375","false","Aviation","DirectorBrief","2020-04-22T04:00:00Z","2017-12-22T13:21:00Z","Serious","0","1","10","an inadvertent encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"41.018611","-71.691665","AIRBUS","330","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","American Airlines, Inc","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95804","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95804/pdf"
"DCA17CA155","ACC","95632","2017-07-19T22:45:00Z","Minneapolis","Minnesota","United States",,"N427YX","17000402","false","Aviation","DirectorBrief","2021-02-24T05:00:00Z","2021-07-13T04:00:00Z","Serious","0","1","3","An encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"44.881942000000002","-93.221664000000004","EMBRAER S A","ERJ170-200LR","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","REPUBLIC AIRLINE INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95632","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95632/pdf"
"DCA17LA182","ACC","95552","2017-07-02T13:19:00Z","Denver","Colorado","United States",,"N796SK","10300","false","Aviation","DirectorBrief","2022-05-27T04:00:00Z","2022-05-26T18:00:00Z","None","0","0","0","The fuel supply tube fitting pulling out of the left engine’s operability bleed valve (OBV) during the landing rollout, allowing fuel to leak and contact hot engine cases, which ignited a fire that caused thermal damage to the engine pylon. Contributing to the fitting pullout from the OBV was an undetected progressive environmental control system (ECS) support link wear condition that allowed excessive OBV movement relative to the engine, and the lack of alignment instructions in the base engine assembly drawing and the lack of maintenance tasks to assess the operational condition of the ECS links.","Aircraft - Aircraft power plant - Engine bleed air system - (general) - Inadequate inspection, Aircraft - Aircraft structures - Nacelles/pylons structure - Nacelle/pylon misc structure - Failure, Aircraft - Aircraft power plant - Engine bleed air system - Compressor bleed valve - Capability exceeded, Aircraft - Aircraft power plant - Engine bleed air system - Compressor bleed valve - Design",,"39.861666999999997","-104.67305","BOMBARDIER INC","CL 600 2C10","AIR","KDEN","Denver International Airport","false","2","TF","SCHD",,"121","Substantial","Unknown","SKYWEST AIRLINES INC","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95552","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95552/pdf"
"DCA17WA154","ACC","95625","2017-07-01T04:10:00Z","Fukushima",,"Japan",,"N29968","60141","false","Aviation","",,,"Serious","0","1","0",,,,"36.632221000000001","140.377227","BOEING","787-9","AIR",,,"false",,,"SCHD",,"121","None",,,"Enroute","N/A",,,"","None"
"DCA17CA147","ACC","95481","2017-06-30T21:30:00Z","Chicago","Illinois","United States",,"N991AU, N862AS","7131, 7476","false","Aviation","DirectorBrief","2018-03-09T05:00:00Z","2018-03-12T12:28:00Z","None","0","0","0","the A321 flight crew's incorrect evaluation of the clearance between the aircraft, leading to the inadvertent collision with the horizontal stabilizer of the CRJ200.  Contributing to the accident was traffic congestion that resulted in the CRJ200 having to stop prior to fully clearing the perpendicular taxiway.","Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew, Environmental issues - Operating environment - Air traffic/operating proc - Traffic congestion - Effect on operation",,"41.977221999999998","-87.898330000000001","AIRBUS, BOMBARDIER INC","A321 231, CL 600 2B19","AIR, AIR","KORD","Chicago O'Hare International A","false, false","2, 2","TF, TF","SCHD, SCHD",,"121, 121","Minor, Substantial","VMC","American Airlines, SkyWest Airlines","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95481","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95481/pdf"
"DCA17LA145","ACC","95431","2017-06-23T13:38:00Z","Atlanta","Georgia","United States",,"N315DN","7436","false","Aviation","DirectorBrief","2021-06-08T04:00:00Z","2021-07-13T04:00:00Z","None","0","0","0","The first officer's improper landing flare, which resulted in a hard, bounced landing, and the flight crew’s improper bounced landing recovery procedures.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Copilot, Personnel issues - Action/decision - Action - Incorrect action sequence - Flight crew",,"33.649444000000003","-84.415274999999994","AIRBUS","A321","AIR","ATL","Hartsfield - Jackson Atlanta I","false","2","TF","SCHD",,"121","Substantial","VMC","Delta Air Lines, Inc.","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95431","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95431/pdf"
"DCA17CA123","ACC","95218","2017-05-21T19:30:00Z","South Toledo Bend","Texas","United States",,"N512NK","2673","false","Aviation","DirectorBrief","2021-02-24T05:00:00Z","2021-07-13T04:00:00Z","Serious","0","1","2","an encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"30.990798000000002","-93.660490999999993","AIRBUS","A319 132","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","Spirit Airlines, Inc.","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=95218","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/95218/pdf"
